id,park_name,address,park_type,latitude,longitude,area,size,size_rank
364,長沢村岡公園,神奈川県横須賀市長沢1-1011-1,近隣公園,35.20796085,139.6729135,北下浦エリア,12845,大
365,野比海岸公園,神奈川県横須賀市野比2-194-13,街区公園,35.20769129,139.6859425,北下浦エリア,791,小
366,長沢殿前公園,神奈川県横須賀市グリーンハイツ550,街区公園,35.20655257,139.6715894,北下浦エリア,3270,中
367,長井屋形公園,神奈川県横須賀市長井5-2880-27,街区公園,35.20514891,139.6104501,西エリア,612,小
368,長沢七軒町公園,神奈川県横須賀市長沢1-363,街区公園,35.20452745,139.6753948,北下浦エリア,1086,中
369,長沢公園,神奈川県横須賀市長沢1-70,近隣公園,35.20233937,139.6721049,北下浦エリア,15313,大
370,長沢１丁目公園,神奈川県横須賀市長沢1-70,街区公園,35.20130496,139.6732571,北下浦エリア,317,小
371,大滝町公園,神奈川県横須賀市大滝町1-31-10,街区公園,35.28224,139.66884,市役所エリア,476,小
372,池上緑地,神奈川県横須賀市池上3-3567,その他,35.2616,139.64731,衣笠エリア,2155,中
373,池田６丁目公園(旧池田２丁目）,神奈川県横須賀市池田町6-55-1,街区公園,35.24889,139.69046,大津エリア,2524,中
374,市役所前公園,神奈川県横須賀市小川町9-1,その他,35.28125,139.67131,市役所エリア,3985,中
375,南郷公園,神奈川県横須賀市船越町4-6,街区公園,35.30131,139.62257,田浦エリア,4430,中
376,立石公園,神奈川県横須賀市秋谷3-1584,近隣公園,35.24071,139.60051,西エリア,4840,中
377,坂本公園,神奈川県横須賀市坂本町1-19,街区公園,35.27094,139.65829,市役所エリア,5838,中
378,愛宕山公園,神奈川県横須賀市西浦賀1-23,近隣公園,35.2406,139.71916,浦賀エリア,7200,中
379,ペリー公園,神奈川県横須賀市久里浜7-14,特殊公園（風致公園、動植物公園、歴史公園、墓園）,35.22481,139.71257,久里浜エリア,7145,中
380,湘南国際村緑地,神奈川県横須賀市湘南国際村2-3242,その他,35.2538,139.61501,西エリア,9118,中
381,小原台緑地,神奈川県横須賀市小原台2077,その他,35.25452,139.72662,浦賀エリア,10961,大
382,衣笠公園,神奈川県横須賀市平作1-2712-1,運動公園,35.257,139.65469,衣笠エリア,12124,大
383,三春公園,神奈川県横須賀市三春町2-1-8,街区公園,35.26786,139.68489,市役所エリア,13949,大
384,根岸公園,神奈川県横須賀市根岸町3-17,近隣公園,35.25299,139.68256,大津エリア,14284,大
385,湘南国際村西公園,神奈川県横須賀市湘南国際村1-3509-5,近隣公園,35.25455,139.60699,西エリア,20000,大
386,はまゆう公園,神奈川県横須賀市不入斗町4-25,近隣公園,35.27375,139.6638,市役所エリア,24664,大
387,神明公園,神奈川県横須賀市神明町1-8,近隣公園,35.22433,139.70073,久里浜エリア,25263,大
388,ヴェルニー公園,神奈川県横須賀市汐入町1-1-1,近隣公園,35.28447,139.65723,市役所エリア,27457,大
389,光の丘公園,神奈川県横須賀市光の丘3752-2,近隣公園,35.22462,139.67091,北下浦エリア,30662,大
390,太田和つつじの丘,神奈川県横須賀市太田和5-2638,その他,35.23215,139.6423,西エリア,33399,大
391,三笠公園,神奈川県横須賀市稲岡町82-14,特殊公園（風致公園、動植物公園、歴史公園、墓園）,35.29361,139.66524,市役所エリア,36940,大
392,しょうぶ園,神奈川県横須賀市阿部倉549,特殊公園（風致公園、動植物公園、歴史公園、墓園）,35.25644,139.63457,衣笠エリア,37597,大
393,中央公園,神奈川県横須賀市深田台19-1,近隣公園,35.27475,139.67236,市役所エリア,39329,大
394,西公園,神奈川県横須賀市武3-458-1,運動公園,35.2211,139.64709,西エリア,53348,大
395,大津公園,神奈川県横須賀市大津町5-11-2,運動公園,35.25811,139.6875,大津エリア,52987,大
396,荒崎公園,神奈川県横須賀市長井6-5320-3,特殊公園（風致公園、動植物公園、歴史公園、墓園）,35.19792,139.60767,西エリア,53158,大
397,猿島公園,神奈川県横須賀市猿島1,特殊公園（風致公園、動植物公園、歴史公園、墓園）,35.28606,139.69406,市役所エリア,56626,大
398,衣笠山公園,神奈川県横須賀市小矢部4-922,特殊公園（風致公園、動植物公園、歴史公園、墓園）,35.24826,139.66331,衣笠エリア,238885,特大
399,鷹取山公園,神奈川県横須賀市湘南鷹取3-3-520,特殊公園（風致公園、動植物公園、歴史公園、墓園）,35.30574,139.61787,追浜エリア,79227,大
400,追浜公園,神奈川県横須賀市夏島町2-2,運動公園,35.31829,139.63202,追浜エリア,87682,大
401,不入斗公園,神奈川県横須賀市不入斗町1-2-1,運動公園,35.26832,139.66328,市役所エリア,136504,特大
402,光の丘水辺公園,神奈川県横須賀市光の丘1177-2,その他,35.22462,139.67091,北下浦エリア,146049,特大
403,長井海の手公園,神奈川県横須賀市長井4-3491-3,総合公園,35.19649,139.61456,西エリア,212585,特大
404,田浦梅の里,神奈川県横須賀市田浦泉町92,その他,35.28382,139.62933,田浦エリア,462854,特大
405,くりはま花の国,神奈川県横須賀市神明町1-1,その他,35.22433,139.70073,久里浜エリア,583330,特大
406,くりはまみんなの公園,神奈川県横須賀市久里浜1-381-4,近隣公園,35.23442,139.69936,久里浜エリア,22628,大
407,安針台都市緑地,神奈川県横須賀市安針台4-9,その他,35.28939,139.64511,逸見エリア,2551,中
408,浦郷３丁目公園,神奈川県横須賀市浦郷町3-25-23,街区公園,35.31296,139.63408,追浜エリア,4222,中
409,夏島都市緑地,神奈川県横須賀市夏島町2-26,その他,35.31829,139.63202,追浜エリア,9330,中
410,公郷５丁目公園,神奈川県横須賀市公郷町5-62-6,街区公園,35.25766,139.68059,衣笠エリア,1501,中
411,公郷５丁目第２公園,神奈川県横須賀市公郷町5-62-38,街区公園,35.25766,139.68059,衣笠エリア,1419,中
412,根岸２丁目緑地,神奈川県横須賀市根岸町2-58,その他,35.25137,139.68881,大津エリア,4980,中
413,根岸緑地,神奈川県横須賀市根岸町5-42,その他,35.25575,139.68303,大津エリア,6020,中
414,佐原２丁目公園,神奈川県横須賀市佐原2-36-4,地区公園（カントリーパーク）,35.24343,139.68532,久里浜エリア,33939,大
415,佐原緩衝緑地,神奈川県横須賀市佐原4-355,その他,35.23607,139.68556,久里浜エリア,4656,中
416,桜が丘２丁目緑地,神奈川県横須賀市桜が丘2-107,その他,35.25585,139.70636,大津エリア,3897,中
417,桜が丘緑地,神奈川県横須賀市桜が丘1-60,その他,35.25572,139.70061,大津エリア,3635,中
418,三春緑地,神奈川県横須賀市三春町2-21-1,その他,35.26575,139.68466,市役所エリア,2799,中
419,若松公園,神奈川県横須賀市若松町3-32-11,街区公園,35.27815,139.67252,市役所エリア,426,小
420,秋谷緑地,神奈川県横須賀市秋谷1818,その他,35.25005,139.59595,西エリア,35762,大
421,小矢部１丁目第４公園,神奈川県横須賀市小矢部1-456-7,街区公園,35.25278,139.66913,衣笠エリア,508,小
